task-clock	context-switches	cpu-migrations	page-faults	cycles	instructions	branches	branch-misses	label
0.15	2.0	0.0	2.0	386019.0	113517.0	21914.0	1516.0	1
45.81	283.0	4.0	296.0	123480460.0	180278004.0	32485013.0	201397.0	1
35.35	60.0	2.0	16.0	96566632.0	111370120.0	18725951.0	1026122.0	1
28.64	41.0	3.0	15.0	75469196.0	121709463.0	21452992.0	193411.0	1
38.08	65.0	1.0	26.0	102060815.0	161415319.0	28625097.0	43418.0	1
16.72	35.0	1.0	17.0	44685172.0	58870284.0	11627808.0	83494.0	1
25.62	53.0	1.0	5.0	70390578.0	109034922.0	19245409.0	26474.0	1
42.46	51.0	0.0	1028.0	115698603.0	171921220.0	28067495.0	76951.0	1
10.1	22.0	2.0	30.0	27525568.0	37364023.0	7612589.0	7430.0	1
26.35	50.0	0.0	8.0	72846626.0	115900768.0	19526569.0	17679.0	1
19.25	68.0	2.0	21.0	51842432.0	79356577.0	13881570.0	41570.0	1
23.17	60.0	0.0	8.0	62580993.0	100846928.0	17882431.0	23812.0	1
29.65	78.0	0.0	4.0	79940720.0	124514120.0	22809118.0	167061.0	1
18.68	41.0	5.0	1.0	50508481.0	80778819.0	13984867.0	19805.0	1
7.61	36.0	0.0	4.0	20141040.0	31857002.0	5725296.0	20337.0	1
16.51	53.0	1.0	11.0	44697791.0	70849473.0	12182706.0	9497.0	1
7.99	36.0	0.0	0.0	21740896.0	33611909.0	6000116.0	3325.0	1
19.57	62.0	1.0	3.0	52806820.0	67191739.0	12991213.0	193991.0	1
9.44	47.0	1.0	5.0	25025576.0	38909710.0	7421772.0	9143.0	1
23.0	53.0	2.0	26.0	60936520.0	102338382.0	18030741.0	18367.0	1
8.84	32.0	0.0	1.0	24424582.0	39001630.0	883114.0	6897.0	1
29.18	68.0	2.0	10.0	78134040.0	123518113.0	22550483.0	24582.0	1
0.26	20.0	0.0	23.0	616839.0	284268.0	56811.0	1261.0	1
19.86	70.0	6.0	6.0	53153999.0	86656236.0	15111781.0	21391.0	1
0.2	23.0	0.0	0.0	568475.0	217646.0	51316.0	1771.0	1
28.46	69.0	1.0	3.0	78553363.0	125666980.0	22092543.0	26836.0	1
4.24	34.0	0.0	0.0	11524050.0	18254852.0	3137702.0	9297.0	1
20.26	64.0	1.0	2.0	55283714.0	88503237.0	16006325.0	21669.0	1
8.65	29.0	0.0	0.0	23511600.0	37266936.0	5398526.0	15629.0	1
10.84	27.0	1.0	1.0	28911035.0	43454044.0	7822115.0	12908.0	1
5.95	55.0	1.0	3.0	15929853.0	24337090.0	4516995.0	5174.0	1
21.0	38.0	0.0	1.0	57304464.0	89557299.0	13325423.0	282766.0	1
9.96	32.0	0.0	28.0	26940598.0	35545210.0	6633858.0	126087.0	1
22.62	58.0	1.0	12.0	62648342.0	99050852.0	14941046.0	265938.0	1
0.75	35.0	1.0	3.0	1909690.0	1935289.0	265160.0	5153.0	1
26.78	71.0	1.0	10.0	72694118.0	118179755.0	20637796.0	26643.0	1
11.0	30.0	2.0	0.0	32221336.0	50206373.0	9355612.0	17415.0	1
0.24	24.0	1.0	0.0	619881.0	260482.0	0.0	0.0	1
19.51	66.0	1.0	9.0	53755729.0	74023932.0	13555182.0	187998.0	1
8.95	21.0	0.0	0.0	24907459.0	38667297.0	7035466.0	7103.0	1
14.82	59.0	2.0	3.0	40030592.0	64495229.0	11470975.0	6360.0	1
5.1	21.0	0.0	1.0	13563850.0	19485057.0	3371453.0	178122.0	1
17.83	42.0	1.0	1.0	50289509.0	65799960.0	11958004.0	259819.0	1
14.62	64.0	0.0	3.0	38372494.0	56391457.0	10107223.0	73502.0	1
15.37	48.0	2.0	3.0	42926575.0	68431315.0	12474760.0	12726.0	1
14.64	40.0	0.0	0.0	39742132.0	62882621.0	10406852.0	17674.0	1
8.83	22.0	2.0	0.0	24002282.0	36974449.0	6089748.0	11592.0	1
