task-clock	context-switches	cpu-migrations	page-faults	cycles	instructions	branches	branch-misses	label
0.1	1.0	0.0	1.0	274591.0	77635.0	15137.0	1079.0	1
0.07	1.0	1.0	0.0	177123.0	50113.0	9438.0	739.0	1
51.96	36.0	6.0	248.0	137826261.0	205154379.0	39298405.0	54500.0	1
42.52	119.0	5.0	39.0	112206975.0	174650546.0	32188762.0	44941.0	1
31.93	77.0	4.0	36.0	84675408.0	118520142.0	23876797.0	54074.0	1
21.82	71.0	4.0	7.0	57283508.0	90067469.0	15506947.0	24001.0	1
17.78	41.0	0.0	17.0	46697578.0	74219713.0	12513565.0	24448.0	1
25.97	37.0	0.0	31.0	70115498.0	111656758.0	20134177.0	17317.0	1
29.42	82.0	0.0	6.0	77457912.0	119756947.0	21744497.0	33905.0	1
13.16	50.0	4.0	7.0	33969711.0	55633675.0	9312092.0	16129.0	1
12.57	69.0	0.0	1.0	32734909.0	51657496.0	9392628.0	11260.0	1
28.38	37.0	2.0	8.0	73817501.0	112185596.0	19972881.0	80385.0	1
11.95	38.0	3.0	0.0	31094759.0	47829778.0	9245968.0	21613.0	1
24.85	62.0	0.0	9.0	63923630.0	99162290.0	17301004.0	78783.0	1
16.99	67.0	2.0	26.0	43946369.0	67000054.0	11625167.0	23130.0	1
26.43	61.0	2.0	10.0	68173280.0	97031435.0	19239311.0	80856.0	1
7.86	17.0	1.0	0.0	19777687.0	26332889.0	4649030.0	47580.0	1
24.94	27.0	3.0	6.0	64214108.0	89314504.0	16898398.0	28654.0	1
13.31	43.0	1.0	3.0	34115340.0	51153413.0	9122406.0	18994.0	1
10.74	28.0	0.0	0.0	26989168.0	42879199.0	7767800.0	10776.0	1
20.85	57.0	1.0	3.0	53298171.0	83599193.0	14808274.0	22573.0	1
5.09	23.0	0.0	0.0	12938747.0	20390570.0	3501336.0	5067.0	1
31.93	83.0	2.0	4.0	80620827.0	106476598.0	20559268.0	63043.0	1
17.39	37.0	0.0	4.0	44497637.0	71026829.0	12305343.0	21161.0	1
11.1	35.0	0.0	6.0	28617443.0	37066469.0	7564968.0	101202.0	1
15.79	42.0	0.0	0.0	39747163.0	55785594.0	9398976.0	140555.0	1
11.35	22.0	1.0	0.0	28704757.0	45482623.0	8642732.0	8469.0	1
0.22	25.0	0.0	0.0	532480.0	225328.0	46575.0	1598.0	1
17.88	28.0	0.0	2.0	44507944.0	71177150.0	12291838.0	15743.0	1
5.15	33.0	0.0	0.0	13404048.0	22092944.0	3611584.0	3798.0	1
20.15	36.0	0.0	4.0	50119515.0	78536267.0	14635013.0	15539.0	1
17.22	39.0	2.0	11.0	42300037.0	65254375.0	11214210.0	23382.0	1
7.72	23.0	0.0	1.0	17545612.0	29677466.0	5754254.0	3505.0	1
19.55	58.0	0.0	8.0	47937079.0	75983932.0	13109008.0	11286.0	1
7.78	22.0	1.0	1.0	19100355.0	29513403.0	4741421.0	4076.0	1
24.11	59.0	1.0	6.0	59976351.0	94526192.0	17134700.0	27159.0	1
17.66	58.0	0.0	7.0	42789633.0	67450716.0	11529038.0	10418.0	1
11.03	47.0	3.0	0.0	27117599.0	43194408.0	8167817.0	6220.0	1
14.74	43.0	5.0	22.0	36007843.0	51934659.0	9247611.0	25238.0	1
11.62	28.0	0.0	0.0	29192668.0	46050180.0	8744742.0	10716.0	1
17.96	44.0	5.0	5.0	43286548.0	66997167.0	11815043.0	18395.0	1
0.1	10.0	0.0	0.0	251077.0	95093.0	16852.0	564.0	1
9.92	26.0	0.0	0.0	24791578.0	38606487.0	7177561.0	14273.0	1
